"","Kategorie1","Karte.11","Karte.21","Hand1","Wert1","Kategorie2","Karte.12","Karte.22","Hand2","Wert2","Spw"
"21","tief",8,8,16,16,"mittel",7,11,18,18,-1
"23.1","tief",8,7,15,15,"tief",8,8,16,16,-1
"5","über",10,10,20,0,"über",11,10,21,0,0
"16.1","mittel",10,7,17,17,"mittel",8,10,18,18,-1
"12","mittel",10,8,18,18,"mittel",9,8,17,17,1
"3","über",10,11,21,0,"hoch",9,10,19,19,-1
"16","mittel",10,7,17,17,"tief",8,7,15,15,1
"19","mittel",7,10,17,17,"hoch",11,8,19,19,-1
"23","tief",8,7,15,15,"über",11,11,22,0,1
"7.1","hoch",11,8,19,19,"mittel",7,10,17,17,1
"7","hoch",11,8,19,19,"tief",7,7,14,14,1
"4","über",11,9,20,0,"über",11,11,22,0,0
